id,images
3_4_Sit-Up,"3_4_Sit-Up/0.jpg, 3_4_Sit-Up/1.jpg"
90_90_Hamstring,"90_90_Hamstring/0.jpg, 90_90_Hamstring/1.jpg"
Ab_Crunch_Machine,"Ab_Crunch_Machine/0.jpg, Ab_Crunch_Machine/1.jpg"
Ab_Roller,"Ab_Roller/0.jpg, Ab_Roller/1.jpg"
Adductor,"Adductor/0.jpg, Adductor/1.jpg"
Adductor_Groin,"Adductor_Groin/0.jpg, Adductor_Groin/1.jpg"
Advanced_Kettlebell_Windmill,"Advanced_Kettlebell_Windmill/0.jpg, Advanced_Kettlebell_Windmill/1.jpg"
Air_Bike,"Air_Bike/0.jpg, Air_Bike/1.jpg"
All_Fours_Quad_Stretch,"All_Fours_Quad_Stretch/0.jpg, All_Fours_Quad_Stretch/1.jpg"
Alternate_Hammer_Curl,"Alternate_Hammer_Curl/0.jpg, Alternate_Hammer_Curl/1.jpg"
Alternate_Heel_Touchers,"Alternate_Heel_Touchers/0.jpg, Alternate_Heel_Touchers/1.jpg"
Alternate_Incline_Dumbbell_Curl,"Alternate_Incline_Dumbbell_Curl/0.jpg, Alternate_Incline_Dumbbell_Curl/1.jpg"
Alternate_Leg_Diagonal_Bound,"Alternate_Leg_Diagonal_Bound/0.jpg, Alternate_Leg_Diagonal_Bound/1.jpg"
Alternating_Cable_Shoulder_Press,"Alternating_Cable_Shoulder_Press/0.jpg, Alternating_Cable_Shoulder_Press/1.jpg"
Alternating_Deltoid_Raise,"Alternating_Deltoid_Raise/0.jpg, Alternating_Deltoid_Raise/1.jpg"
Alternating_Floor_Press,"Alternating_Floor_Press/0.jpg, Alternating_Floor_Press/1.jpg"
Alternating_Hang_Clean,"Alternating_Hang_Clean/0.jpg, Alternating_Hang_Clean/1.jpg"
Alternating_Kettlebell_Press,"Alternating_Kettlebell_Press/0.jpg, Alternating_Kettlebell_Press/1.jpg"
Alternating_Kettlebell_Row,"Alternating_Kettlebell_Row/0.jpg, Alternating_Kettlebell_Row/1.jpg"
Alternating_Renegade_Row,"Alternating_Renegade_Row/0.jpg, Alternating_Renegade_Row/1.jpg"
Ankle_Circles,"Ankle_Circles/0.jpg, Ankle_Circles/1.jpg"
Ankle_On_The_Knee,"Ankle_On_The_Knee/0.jpg, Ankle_On_The_Knee/1.jpg"
Anterior_Tibialis-SMR,"Anterior_Tibialis-SMR/0.jpg, Anterior_Tibialis-SMR/1.jpg"
Anti-Gravity_Press,"Anti-Gravity_Press/0.jpg, Anti-Gravity_Press/1.jpg"
Arm_Circles,"Arm_Circles/0.jpg, Arm_Circles/1.jpg"
